Name,Unit,Stock,Rating,Price
Lady Finger,gram,19,4.4,89.2
Lady Finger,piece,5,2.4,21.2
Radish,dozen,4,1.3,10.09
Broccoli,piece,76,2.9,51.43
Bitter Gourd,piece,100,2.5,53.27
Beetroot,dozen,84,4.2,98.73
Brinjal,piece,70,3.4,44.32
Garlic,kg,47,2.1,55.11
Cauliflower,gram,5,3.5,18.64
Brinjal,gram,55,2.2,79.36
Pumpkin,dozen,47,1.2,29.74
Cucumber,bundle,32,1.8,62.49
Sweet Corn,dozen,70,4.4,55.89
Beetroot,dozen,38,1.6,99.33
Bottle Gourd,kg,86,5.0,86.6
Turnip,piece,19,3.9,11.42
Brinjal,gram,51,4.3,83.31
Capsicum,gram,22,3.4,78.48
Radish,dozen,58,1.7,15.37
Broccoli,kg,38,2.5,66.42
Cabbage,gram,24,4.8,34.96
Sweet Corn,bundle,72,1.4,59.57
Green Peas,gram,90,4.2,39.83
Brinjal,kg,92,1.2,70.93
Cucumber,piece,36,2.4,83.82
Capsicum,piece,100,1.8,40.13
Garlic,dozen,36,1.6,66.54
Chili,kg,89,1.2,78.93
Cabbage,kg,28,3.8,47.84
Bitter Gourd,piece,82,2.0,13.02
Carrot,gram,36,1.3,73.01
Mushroom,kg,89,1.9,39.14
Brinjal,piece,84,4.1,72.09
Garlic,gram,83,4.3,84.1
Bottle Gourd,kg,11,3.7,88.63
Radish,kg,1,2.6,76.56
Carrot,dozen,27,4.7,73.1
Beetroot,piece,87,2.4,39.18
Potato,piece,85,4.2,80.19
Carrot,bundle,11,2.7,55.74
Cabbage,dozen,47,4.7,15.09
Mushroom,kg,98,2.4,46.86
Bitter Gourd,dozen,3,4.4,90.78
Chili,bundle,23,2.0,40.16
Potato,bundle,86,4.5,58.71
Bitter Gourd,kg,11,1.1,46.74
Tomato,gram,73,3.8,31.46
Sweet Corn,dozen,65,2.7,89.97
Garlic,piece,65,1.9,85.98
Broccoli,bundle,68,1.1,87.37
Tomato,piece,49,3.3,16.28
Tomato,piece,24,1.2,83.27
Lady Finger,dozen,52,1.2,34.62
Onion,bundle,69,4.5,98.01
Mushroom,gram,97,4.6,15.91
Garlic,gram,69,4.8,85.9
Turnip,kg,27,3.4,83.23
Cauliflower,gram,98,1.3,34.3
Carrot,kg,63,3.7,95.21
Pumpkin,gram,42,4.4,30.86
Sweet Corn,gram,36,4.0,74.95
Ginger,piece,3,1.1,54.8
Bottle Gourd,dozen,55,4.9,41.79
Broccoli,gram,56,1.3,22.88
Bottle Gourd,gram,13,3.8,15.94
Cauliflower,dozen,71,1.3,31.95
Carrot,bundle,70,1.7,24.93
Pumpkin,piece,96,4.4,91.78
Cauliflower,dozen,84,2.6,59.43
Broccoli,gram,83,1.0,66.33
Onion,kg,92,2.1,79.71
